TenantId,"TimeGenerated [UTC]",DeviceVendor,DeviceProduct,DeviceVersion,DeviceEventClassID,Activity,LogSeverity,OriginalLogSeverity,AdditionalExtensions,DeviceAction,ApplicationProtocol,EventCount,DestinationDnsDomain,DestinationServiceName,DestinationTranslatedAddress,DestinationTranslatedPort,CommunicationDirection,DeviceDnsDomain,DeviceExternalID,DeviceFacility,DeviceInboundInterface,DeviceNtDomain,DeviceOutboundInterface,DevicePayloadId,ProcessName,DeviceTranslatedAddress,DestinationHostName,DestinationMACAddress,DestinationNTDomain,DestinationProcessId,DestinationUserPrivileges,DestinationProcessName,DestinationPort,DestinationIP,DeviceTimeZone,DestinationUserID,DestinationUserName,DeviceAddress,DeviceName,DeviceMacAddress,ProcessID,"EndTime [UTC]",ExternalID,ExtID,FileCreateTime,FileHash,FileID,FileModificationTime,FilePath,FilePermission,FileType,FileName,FileSize,ReceivedBytes,Message,OldFileCreateTime,OldFileHash,OldFileID,OldFileModificationTime,OldFileName,OldFilePath,OldFilePermission,OldFileSize,OldFileType,SentBytes,EventOutcome,Protocol,Reason,RequestURL,RequestClientApplication,RequestContext,RequestCookies,RequestMethod,ReceiptTime,SourceHostName,SourceMACAddress,SourceNTDomain,SourceDnsDomain,SourceServiceName,SourceTranslatedAddress,SourceTranslatedPort,SourceProcessId,SourceUserPrivileges,SourceProcessName,SourcePort,SourceIP,"StartTime [UTC]",SourceUserID,SourceUserName,EventType,DeviceEventCategory,DeviceCustomIPv6Address1,DeviceCustomIPv6Address1Label,DeviceCustomIPv6Address2,DeviceCustomIPv6Address2Label,DeviceCustomIPv6Address3,DeviceCustomIPv6Address3Label,DeviceCustomIPv6Address4,DeviceCustomIPv6Address4Label,DeviceCustomFloatingPoint1,DeviceCustomFloatingPoint1Label,DeviceCustomFloatingPoint2,DeviceCustomFloatingPoint2Label,DeviceCustomFloatingPoint3,DeviceCustomFloatingPoint3Label,DeviceCustomFloatingPoint4,DeviceCustomFloatingPoint4Label,DeviceCustomNumber1,FieldDeviceCustomNumber1,DeviceCustomNumber1Label,DeviceCustomNumber2,FieldDeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomNumber3,FieldDeviceCustomNumber3,DeviceCustomNumber3Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString2,DeviceCustomString2Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomString5,DeviceCustomString5Label,DeviceCustomString6,DeviceCustomString6Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,FlexDate1,FlexDate1Label,FlexNumber1,FlexNumber1Label,FlexNumber2,FlexNumber2Label,FlexString1,FlexString1Label,FlexString2,FlexString2Label,RemoteIP,RemotePort,MaliciousIP,ThreatSeverity,IndicatorThreatType,ThreatDescription,ThreatConfidence,ReportReferenceLink,MaliciousIPLongitude,MaliciousIPLatitude,MaliciousIPCountry,Computer,SourceSystem,SimplifiedDeviceAction,Type,"_ResourceId"
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:44:25.170",Cisco,ASA,,302015,,Low,6,,Built,,,,,,,Inbound,,,local6,,,,,,,,,,,,,53,"145.219.183.222",,,,,facmnlxcb4,,,,,,,,,,,,,,,,"%ASA-6-302015:  Built inbound UDP connection 1466506706 for DMZ-B2E-EXT:10.15.40.223/59976 (10.15.40.223/59976)(LOCAL\Hannah.Ijsselstijn@achmea.nl) to DMZ-B2E-INT:145.219.183.222/53 (145.219.183.222/53) (hannah.ijsselstijn@achmea.nl)",,,,,,,,,,,,UDP,,,,,,,"11/21/2022 4:43:40 PM",,,,,,,,,,,59976,"10.15.40.223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.15.40.223",59976,,,,,,,,,,facmnlxcb4,OpsManager,Built,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:44:25.171",Cisco,ASA,,302016,,Low,6,,,,,,,,,,,,local6,,,,,,,,,,,,,,,,,,,facmnlxcb4,,,,,,,,,,,,,,,,"%ASA-6-302016:  Teardown UDP connection 1466506706 for DMZ-B2E-EXT:10.15.40.223/59976(LOCAL\Hannah.Ijsselstijn@achmea.nl) to DMZ-B2E-INT:145.219.183.222/53 duration 0:00:00 bytes 90 (hannah.ijsselstijn@achmea.nl)",,,,,,,,,,,,,,,,,,,"11/21/2022 4:43:40 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facmnlxcb4,OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:44:25.171",Cisco,ASA,,302013,,Low,6,,Built,,,,,,,Inbound,,,local6,,,,,,,,,,,,,443,"142.250.27.157",,,,,facmnlxcb4,,,,,,,,,,,,,,,,"%ASA-6-302013:  Built inbound TCP connection 1466506707 for DMZ-B2E-EXT:10.15.72.237/59711 (10.15.72.237/59711)(LOCAL\Rob.Alberda@fbto.nl) to DMZ-B2E-INT:142.250.27.157/443 (142.250.27.157/443) (rob.alberda@fbto.nl)",,,,,,,,,,,,TCP,,,,,,,"11/21/2022 4:43:40 PM",,,,,,,,,,,59711,"10.15.72.237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.15.72.237",59711,,,,,,,,,,facmnlxcb4,OpsManager,Built,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:44:25.172",Cisco,ASA,,302016,,Low,6,,,,,,,,,,,,local6,,,,,,,,,,,,,,,,,,,facmnlxcb4,,,,,,,,,,,,,,,,"%ASA-6-302016:  Teardown UDP connection 1466506705 for DMZ-B2E-EXT:10.15.9.183/49936(LOCAL\f.van.teeseling@interpolis.nl) to DMZ-B2E-INT:145.219.183.222/53 duration 0:00:00 bytes 125 (f.van.teeseling@interpolis.nl)",,,,,,,,,,,,,,,,,,,"11/21/2022 4:43:40 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facmnlxcb4,OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:44:25.172",Cisco,ASA,,302015,,Low,6,,Built,,,,,,,Inbound,,,local6,,,,,,,,,,,,,53,"145.219.183.222",,,,,facmnlxcb4,,,,,,,,,,,,,,,,"%ASA-6-302015:  Built inbound UDP connection 1466506708 for DMZ-B2E-EXT:10.15.20.249/61442 (10.15.20.249/61442)(LOCAL\anique.jansen@zilverenkruis.nl) to DMZ-B2E-INT:145.219.183.222/53 (145.219.183.222/53) (anique.jansen@zilverenkruis.nl)",,,,,,,,,,,,UDP,,,,,,,"11/21/2022 4:43:40 PM",,,,,,,,,,,61442,"10.15.20.249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.15.20.249",61442,,,,,,,,,,facmnlxcb4,OpsManager,Built,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:44:25.173",Cisco,ASA,,302016,,Low,6,,,,,,,,,,,,local6,,,,,,,,,,,,,,,,,,,facmnlxcb4,,,,,,,,,,,,,,,,"%ASA-6-302016:  Teardown UDP connection 1466506708 for DMZ-B2E-EXT:10.15.20.249/61442(LOCAL\anique.jansen@zilverenkruis.nl) to DMZ-B2E-INT:145.219.183.222/53 duration 0:00:00 bytes 204 (anique.jansen@zilverenkruis.nl)",,,,,,,,,,,,,,,,,,,"11/21/2022 4:43:40 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facmnlxcb4,OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:44:25.173",Cisco,ASA,,302013,,Low,6,,Built,,,,,,,Inbound,,,local6,,,,,,,,,,,,,389,"145.219.201.184",,,,,facmnlxcb4,,,,,,,,,,,,,,,,"%ASA-6-302013:  Built inbound TCP connection 1466506709 for DMZ-B2E-EXT:10.15.16.161/61771 (10.15.16.161/61771)(LOCAL\Sjors.Jonkhof@Achmea.nl) to DMZ-B2E-INT:145.219.201.184/389 (145.219.201.184/389) (sjors.jonkhof@achmea.nl)",,,,,,,,,,,,TCP,,,,,,,"11/21/2022 4:43:40 PM",,,,,,,,,,,61771,"10.15.16.161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.15.16.161",61771,,,,,,,,,,facmnlxcb4,OpsManager,Built,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:44:25.175",Cisco,ASA,,302015,,Low,6,,Built,,,,,,,Inbound,,,local6,,,,,,,,,,,,,53,"145.219.183.222",,,,,facmnlxcb4,,,,,,,,,,,,,,,,"%ASA-6-302015:  Built inbound UDP connection 1466506710 for DMZ-B2E-EXT:10.15.50.254/54320 (10.15.50.254/54320)(LOCAL\anja.van.der.beek@achmea.nl) to DMZ-B2E-INT:145.219.183.222/53 (145.219.183.222/53) (anja.van.der.beek@achmea.nl)",,,,,,,,,,,,UDP,,,,,,,"11/21/2022 4:43:40 PM",,,,,,,,,,,54320,"10.15.50.254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.15.50.254",54320,,,,,,,,,,facmnlxcb4,OpsManager,Built,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:44:25.176",Cisco,ASA,,302014,,Low,6,,,,,,,,,,,,local6,,,,,,,,,,,,,,,,,,,facmnlxcb4,,,,,,,,,,,,,,,,"%ASA-6-302014:  Teardown TCP connection 1466483166 for DMZ-B2E-EXT:10.15.103.252/3389(LOCAL\MLHM.Ansems@globalneth.nl) to DMZ-B2E-INT:145.219.201.184/52982 duration 0:00:30 bytes 0 SYN Timeout",,,,,,,,,,,,,,,,,,,"11/21/2022 4:43:40 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facmnlxcb4,OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:44:25.176",Cisco,ASA,,302016,,Low,6,,,,,,,,,,,,local6,,,,,,,,,,,,,,,,,,,facmnlxcb4,,,,,,,,,,,,,,,,"%ASA-6-302016:  Teardown UDP connection 1466506710 for DMZ-B2E-EXT:10.15.50.254/54320(LOCAL\anja.van.der.beek@achmea.nl) to DMZ-B2E-INT:145.219.183.222/53 duration 0:00:00 bytes 246 (anja.van.der.beek@achmea.nl)",,,,,,,,,,,,,,,,,,,"11/21/2022 4:43:40 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facmnlxcb4,OpsManager,,CommonSecurityLog,
