TenantId,"TimeGenerated [UTC]",DeviceVendor,DeviceProduct,DeviceVersion,DeviceEventClassID,Activity,LogSeverity,OriginalLogSeverity,AdditionalExtensions,DeviceAction,ApplicationProtocol,EventCount,DestinationDnsDomain,DestinationServiceName,DestinationTranslatedAddress,DestinationTranslatedPort,CommunicationDirection,DeviceDnsDomain,DeviceExternalID,DeviceFacility,DeviceInboundInterface,DeviceNtDomain,DeviceOutboundInterface,DevicePayloadId,ProcessName,DeviceTranslatedAddress,DestinationHostName,DestinationMACAddress,DestinationNTDomain,DestinationProcessId,DestinationUserPrivileges,DestinationProcessName,DestinationPort,DestinationIP,DeviceTimeZone,DestinationUserID,DestinationUserName,DeviceAddress,DeviceName,DeviceMacAddress,ProcessID,"EndTime [UTC]",ExternalID,ExtID,FileCreateTime,FileHash,FileID,FileModificationTime,FilePath,FilePermission,FileType,FileName,FileSize,ReceivedBytes,Message,OldFileCreateTime,OldFileHash,OldFileID,OldFileModificationTime,OldFileName,OldFilePath,OldFilePermission,OldFileSize,OldFileType,SentBytes,EventOutcome,Protocol,Reason,RequestURL,RequestClientApplication,RequestContext,RequestCookies,RequestMethod,ReceiptTime,SourceHostName,SourceMACAddress,SourceNTDomain,SourceDnsDomain,SourceServiceName,SourceTranslatedAddress,SourceTranslatedPort,SourceProcessId,SourceUserPrivileges,SourceProcessName,SourcePort,SourceIP,"StartTime [UTC]",SourceUserID,SourceUserName,EventType,DeviceEventCategory,DeviceCustomIPv6Address1,DeviceCustomIPv6Address1Label,DeviceCustomIPv6Address2,DeviceCustomIPv6Address2Label,DeviceCustomIPv6Address3,DeviceCustomIPv6Address3Label,DeviceCustomIPv6Address4,DeviceCustomIPv6Address4Label,DeviceCustomFloatingPoint1,DeviceCustomFloatingPoint1Label,DeviceCustomFloatingPoint2,DeviceCustomFloatingPoint2Label,DeviceCustomFloatingPoint3,DeviceCustomFloatingPoint3Label,DeviceCustomFloatingPoint4,DeviceCustomFloatingPoint4Label,DeviceCustomNumber1,FieldDeviceCustomNumber1,DeviceCustomNumber1Label,DeviceCustomNumber2,FieldDeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomNumber3,FieldDeviceCustomNumber3,DeviceCustomNumber3Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString2,DeviceCustomString2Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomString5,DeviceCustomString5Label,DeviceCustomString6,DeviceCustomString6Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,FlexDate1,FlexDate1Label,FlexNumber1,FlexNumber1Label,FlexNumber2,FlexNumber2Label,FlexString1,FlexString1Label,FlexString2,FlexString2Label,RemoteIP,RemotePort,MaliciousIP,ThreatSeverity,IndicatorThreatType,ThreatDescription,ThreatConfidence,ReportReferenceLink,MaliciousIPLongitude,MaliciousIPLatitude,MaliciousIPCountry,Computer,SourceSystem,SimplifiedDeviceAction,Type,"_ResourceId"
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:04:58.444",Darktrace,DCIP,"6.0.0",728,"Achmea/Unusual Beaconing Client JA3",2,,"darktraceUrl=https://zacmnld003.unix.corp/#modelbreach/1121708 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c0801042.hosting.corp",,,,,,,,,,,"10.15.115.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"zacmnld003.unix.corp",OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:13:48.527",Darktrace,DCIP,"6.0.0",728,"Achmea/Unusual Beaconing Client JA3",3,,"darktraceUrl=https://zacmnld003.unix.corp/#modelbreach/1121720 ",,,,,,,,,,,,,,,,,,,,,,,,443,"85.17.249.210",,,,,,,,,1121720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c0313975.hosting.corp","c0:b8:83:6b:5e:fe",,,,,,,,,,"10.15.96.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"zacmnld003.unix.corp",OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:16:25.052",Darktrace,DCIP,"6.0.0",151,"Compromise/Domain Fluxing",4,,"darktraceUrl=https://zacmnld004.unix.corp/#modelbreach/66382 ",,,,,,,,,,,,,,,,,,"dmzexe.dmz.unix.corp",,,,,,53,"10.180.226.55",,,,,,,,,66382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"145.219.183.204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"zacmnld004.unix.corp",OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:16:24.804",Darktrace,DCIP,"6.0.0",151,"Compromise/Domain Fluxing",4,,"darktraceUrl=https://zacmnld004.unix.corp/#modelbreach/66382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"145.219.183.204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"zacmnld004.unix.corp",OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:01:07.748",Darktrace,DCIP,"6.0.0","high-unidirectional-traffic-145-219-229-0/24","High Unidirectional Traffic",6,,"cat=Active;message=Unidirectional Traffic on subnet 145.219.229.0/24 is high (21.0%). This means that Darktrace may experience issues tracking devices on your network. If you have any issues, please open a ticket using the following link. https://customerportal.darktrace.com/ticket/create;darktraceUrl=;https://zacmnld004.unix.corp/sysstatus?alert=b455c7c4-d64d-4e5d-9492-8a6880e5398b ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dt-3656-06",,,,,,,,,,,"145.219.189.165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"zacmnld004.unix.corp",OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:01:07.764",Darktrace,DCIP,"6.0.0","high-unidirectional-traffic-145-219-173-0/24","High Unidirectional Traffic",6,,"cat=Resolved;message=Unidirectional Traffic on subnet 145.219.173.0/24 is high (20.0%). This means that Darktrace may experience issues tracking devices on your network. If you have any issues, please open a ticket using the following link. https://customerportal.darktrace.com/ticket/create;darktraceUrl=;https://zacmnld004.unix.corp/sysstatus?alert=142e9069-13a9-46f6-9a60-615277b8cb28 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dt-3656-06",,,,,,,,,,,"145.219.189.165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"zacmnld004.unix.corp",OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:01:38.101",Darktrace,DCIP,"6.0.0",303,"Anomalous Connection/Possible Outbound Spam",6,,"message=Device / Anomaly Indicators / Possible Outbound Spam Indicator;darktraceUrl=https://zacmnld003.unix.corp/#modelbreach/1121702 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sti-nuc01.pentest.corp",,,,,,,,,,,"145.219.247.222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"zacmnld003.unix.corp",OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 15:49:58.908",Darktrace,DCIP,"6.0.0",728,"Achmea/Unusual Beaconing Client JA3",3,,"darktraceUrl=https://zacmnld003.unix.corp/#modelbreach/1121672 ",,,,,,,,,,,,,,,,,,,,,,,,443,"104.18.20.170",,,,,,,,,1121672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c0310466.hosting.corp",,,,,,,,,,,"10.15.64.186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"zacmnld003.unix.corp",OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 15:25:58.681",Darktrace,DCIP,"6.0.0",715,"Device/RDP Scan",5,,"darktraceUrl=https://zacmnld003.unix.corp/#modelbreach/1121593 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sti-nuc01.pentest.corp",,,,,,,,,,,"145.219.247.222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"zacmnld003.unix.corp",OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 15:34:38.358",Darktrace,DCIP,"6.0.0",319,"Device/Unauthorised Device",4,,"message=c0321994$;darktraceUrl=https://zacmnld003.unix.corp/#modelbreach/1121625 ",,,,,,,,,,,,,,,,,,,,,,,,88,"145.219.201.185",,,,,,,,,1121625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0321994,"38:22:e2:e7:6e:b4",,,,,,,,,,"10.20.157.158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"zacmnld003.unix.corp",OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 15:34:38.380",Darktrace,DCIP,"6.0.0",319,"Device/Unauthorised Device",4,,"message=c0321693$;darktraceUrl=https://zacmnld003.unix.corp/#modelbreach/1121626 ",,,,,,,,,,,,,,,,,,,,,,,,88,"145.219.201.182",,,,,,,,,1121626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0321693,"38:22:e2:e7:db:7c",,,,,,,,,,"10.20.157.156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"zacmnld003.unix.corp",OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 15:47:28.776",Darktrace,DCIP,"6.0.0",728,"Achmea/Unusual Beaconing Client JA3",3,,"darktraceUrl=https://zacmnld003.unix.corp/#modelbreach/1121668 ",,,,,,,,,,,,,,,,,,,,,,,,443,"151.139.242.6",,,,,,,,,1121668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c0320928.hosting.corp",,,,,,,,,,,"10.15.77.145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"zacmnld003.unix.corp",OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 15:14:13.359",Darktrace,DCIP,"6.0.0","new_subnet_detected-10-244-20-0/24","New Subnet Detected",2,,"cat=Resolved;message=Traffic has been detected from the following previously unseen subnet during the past week: 10.244.20.0/24. Use https://145.219.189.164/advancedsearch to identify the seen traffic, and if it is expected. For example, for an alert on 10.101.65.0/24, search for ""10.101.65.*"" (all IPs in the /24 subnet range). Looking at the connection UUID's can help to pinpoint the source of traffic. The last two numbers signify the device the traffic was seen on  for example, C5MH9EnfzLXP9N900 would be from device 00 (the master). If you have any issues, please open a ticket using the following link. https://customerportal.darktrace.com/ticket/create;darktraceUrl=;https://zacmnld003.unix.corp/sysstatus?alert=5f7ecb1a-e727-432e-9158-7853b6cab519 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dt-3656-04",,,,,,,,,,,"145.219.189.164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"zacmnld003.unix.corp",OpsManager,,CommonSecurityLog,
"43103163-8737-4356-8d1b-1484f92aebef","21-11-2022 16:18:48.653",Darktrace,DCIP,"6.0.0",728,"Achmea/Unusual Beaconing Client JA3",3,,"darktraceUrl=https://zacmnld003.unix.corp/#modelbreach/1121727 ",,,,,,,,,,,,,,,,,,,,,,,,443,"90.145.221.160",,,,,,,,,1121727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c0322880.hosting.corp",,,,,,,,,,,"10.15.106.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"zacmnld003.unix.corp",OpsManager,,CommonSecurityLog,
