TenantId,SourceSystem,"TimeGenerated [UTC]",Computer,"EventTime [UTC]",Facility,HostName,SeverityLevel,SyslogMessage,ProcessID,HostIP,ProcessName,MG,Type,"_ResourceId"
"b8ad2f26-5083-4274-a162-82c7cf2bddb8",Linux,"22-11-2022 07:21:55.836",P00708,"22-11-2022 06:21:55.000",daemon,P00708,notice,"﻿<?xml version=""1.0""?>  <EPOEvent><MachineInfo><MachineName>P00121</MachineName><AgentGUID>{7e9ed914-1035-11ea-0a87-0050568ac3de}</AgentGUID><IPAddress>86.12.150.116</IPAddress><OSName>Windows 10 Server</OSName><UserName>%CTX_DOMAIN_USER%</UserName><TimeZoneBias>-60</TimeZoneBias><RawMACAddress>0050568ac3de</RawMACAddress></MachineInfo><SoftwareInfo ProductName=""McAfee Endpoint Security"" ProductVersion=""10.7.0.3468"" ProductFamily=""TVD""><CommonFields><Analyzer>ENDP_GS_1070</Analyzer><AnalyzerName>McAfee Endpoint Security</AnalyzerName><AnalyzerVersion>10.7.0.3468</AnalyzerVersion><AnalyzerHostName>P00121</AnalyzerHostName><AnalyzerDATVersion></AnalyzerDATVersion><AnalyzerEngineVersion></AnalyzerEngineVersion></CommonFields><Event><EventID>1120</EventID><Severity>0</Severity><GMTTime>2022-11-22T07:17:26</GMTTime><CommonFields><AnalyzerDetectionMethod></AnalyzerDetectionMethod><ThreatName>_</ThreatName><ThreatType></ThreatType><ThreatCategory>ops.update</ThreatCategory><ThreatHandled>1</ThreatHandled><ThreatActionTaken>none</ThreatActionTaken><ThreatSeverity>6</ThreatSeverity></CommonFields></Event></SoftwareInfo></EPOEvent>   ",,"86.12.151.216",EPOEvents,"00000000-0000-0000-0000-000000000002",Syslog,
"b8ad2f26-5083-4274-a162-82c7cf2bddb8",Linux,"22-11-2022 07:21:55.836",P00708,"22-11-2022 06:21:55.000",daemon,P00708,notice,"﻿<?xml version=""1.0""?>  <EPOEvent><MachineInfo><MachineName>P00121</MachineName><AgentGUID>{7e9ed914-1035-11ea-0a87-0050568ac3de}</AgentGUID><IPAddress>86.12.150.116</IPAddress><OSName>Windows 10 Server</OSName><UserName>%CTX_DOMAIN_USER%</UserName><TimeZoneBias>-60</TimeZoneBias><RawMACAddress>0050568ac3de</RawMACAddress></MachineInfo><SoftwareInfo ProductName=""McAfee Endpoint Security"" ProductVersion=""10.7.0.3468"" ProductFamily=""TVD""><CommonFields><Analyzer>ENDP_GS_1070</Analyzer><AnalyzerName>McAfee Endpoint Security</AnalyzerName><AnalyzerVersion>10.7.0.3468</AnalyzerVersion><AnalyzerHostName>P00121</AnalyzerHostName><AnalyzerDATVersion></AnalyzerDATVersion><AnalyzerEngineVersion></AnalyzerEngineVersion></CommonFields><Event><EventID>1118</EventID><Severity>0</Severity><GMTTime>2022-11-22T07:17:32</GMTTime><CommonFields><AnalyzerDetectionMethod></AnalyzerDetectionMethod><ThreatName>_</ThreatName><ThreatType></ThreatType><ThreatCategory>ops.update.end</ThreatCategory><ThreatHandled>1</ThreatHandled><ThreatActionTaken>none</ThreatActionTaken><ThreatSeverity>6</ThreatSeverity></CommonFields></Event></SoftwareInfo></EPOEvent>   ",,"86.12.151.216",EPOEvents,"00000000-0000-0000-0000-000000000002",Syslog,
"b8ad2f26-5083-4274-a162-82c7cf2bddb8",Linux,"22-11-2022 07:21:55.836",P00708,"22-11-2022 06:21:55.000",daemon,P00708,notice,"﻿<?xml version=""1.0""?>  <EPOEvent><MachineInfo><MachineName>P00825</MachineName><AgentGUID>{750091b8-b95d-11eb-0a37-005056bfc947}</AgentGUID><IPAddress>86.12.157.78</IPAddress><OSName>Windows 10 Server</OSName><UserName>%CTX_DOMAIN_USER%</UserName><TimeZoneBias>-60</TimeZoneBias><RawMACAddress>005056bfc947</RawMACAddress></MachineInfo><SoftwareInfo ProductName=""McAfee Endpoint Security"" ProductVersion=""10.7.0.3468"" ProductFamily=""TVD""><CommonFields><Analyzer>ENDP_GS_1070</Analyzer><AnalyzerName>McAfee Endpoint Security</AnalyzerName><AnalyzerVersion>10.7.0.3468</AnalyzerVersion><AnalyzerHostName>P00825</AnalyzerHostName><AnalyzerDATVersion></AnalyzerDATVersion><AnalyzerEngineVersion></AnalyzerEngineVersion></CommonFields><Event><EventID>1118</EventID><Severity>0</Severity><GMTTime>2022-11-22T07:19:18</GMTTime><CommonFields><AnalyzerDetectionMethod></AnalyzerDetectionMethod><ThreatName>_</ThreatName><ThreatType></ThreatType><ThreatCategory>ops.update.end</ThreatCategory><ThreatHandled>1</ThreatHandled><ThreatActionTaken>none</ThreatActionTaken><ThreatSeverity>6</ThreatSeverity></CommonFields></Event></SoftwareInfo></EPOEvent>   ",,"86.12.151.216",EPOEvents,"00000000-0000-0000-0000-000000000002",Syslog,
"b8ad2f26-5083-4274-a162-82c7cf2bddb8",Linux,"22-11-2022 07:21:55.847",P00708,"22-11-2022 06:21:55.000",daemon,P00708,notice,"﻿<?xml version=""1.0""?>  <EPOEvent><MachineInfo><MachineName>P00620</MachineName><AgentGUID>{a8445d72-1785-11eb-1f35-0050568a0dc2}</AgentGUID><IPAddress>86.12.151.175</IPAddress><OSName>Windows 10 Server</OSName><UserName>%CTX_DOMAIN_USER%</UserName><TimeZoneBias>-60</TimeZoneBias><RawMACAddress>0050568a0dc2</RawMACAddress></MachineInfo><SoftwareInfo ProductName=""McAfee Endpoint Security"" ProductVersion=""10.7.0.3468"" ProductFamily=""TVD""><CommonFields><Analyzer>ENDP_GS_1070</Analyzer><AnalyzerName>McAfee Endpoint Security</AnalyzerName><AnalyzerVersion>10.7.0.3468</AnalyzerVersion><AnalyzerHostName>P00620</AnalyzerHostName><AnalyzerDATVersion></AnalyzerDATVersion><AnalyzerEngineVersion></AnalyzerEngineVersion></CommonFields><Event><EventID>1120</EventID><Severity>0</Severity><GMTTime>2022-11-22T07:18:03</GMTTime><CommonFields><AnalyzerDetectionMethod></AnalyzerDetectionMethod><ThreatName>_</ThreatName><ThreatType></ThreatType><ThreatCategory>ops.update</ThreatCategory><ThreatHandled>1</ThreatHandled><ThreatActionTaken>none</ThreatActionTaken><ThreatSeverity>6</ThreatSeverity></CommonFields></Event></SoftwareInfo></EPOEvent>   ",,"86.12.151.216",EPOEvents,"00000000-0000-0000-0000-000000000002",Syslog,
"b8ad2f26-5083-4274-a162-82c7cf2bddb8",Linux,"22-11-2022 07:21:55.858",P00708,"22-11-2022 06:21:55.000",daemon,P00708,notice,"﻿<?xml version=""1.0""?>  <EPOEvent><MachineInfo><MachineName>P00620</MachineName><AgentGUID>{a8445d72-1785-11eb-1f35-0050568a0dc2}</AgentGUID><IPAddress>86.12.151.175</IPAddress><OSName>Windows 10 Server</OSName><UserName>%CTX_DOMAIN_USER%</UserName><TimeZoneBias>-60</TimeZoneBias><RawMACAddress>0050568a0dc2</RawMACAddress></MachineInfo><SoftwareInfo ProductName=""McAfee Endpoint Security"" ProductVersion=""10.7.0.3468"" ProductFamily=""TVD""><CommonFields><Analyzer>ENDP_GS_1070</Analyzer><AnalyzerName>McAfee Endpoint Security</AnalyzerName><AnalyzerVersion>10.7.0.3468</AnalyzerVersion><AnalyzerHostName>P00620</AnalyzerHostName><AnalyzerDATVersion></AnalyzerDATVersion><AnalyzerEngineVersion></AnalyzerEngineVersion></CommonFields><Event><EventID>1118</EventID><Severity>0</Severity><GMTTime>2022-11-22T07:18:10</GMTTime><CommonFields><AnalyzerDetectionMethod></AnalyzerDetectionMethod><ThreatName>_</ThreatName><ThreatType></ThreatType><ThreatCategory>ops.update.end</ThreatCategory><ThreatHandled>1</ThreatHandled><ThreatActionTaken>none</ThreatActionTaken><ThreatSeverity>6</ThreatSeverity></CommonFields></Event></SoftwareInfo></EPOEvent>   ",,"86.12.151.216",EPOEvents,"00000000-0000-0000-0000-000000000002",Syslog,
"b8ad2f26-5083-4274-a162-82c7cf2bddb8",Linux,"22-11-2022 07:21:55.858",P00708,"22-11-2022 06:21:55.000",daemon,P00708,notice,"﻿<?xml version=""1.0""?>  <EPOEvent><MachineInfo><MachineName>P00825</MachineName><AgentGUID>{750091b8-b95d-11eb-0a37-005056bfc947}</AgentGUID><IPAddress>86.12.157.78</IPAddress><OSName>Windows 10 Server</OSName><UserName>%CTX_DOMAIN_USER%</UserName><TimeZoneBias>-60</TimeZoneBias><RawMACAddress>005056bfc947</RawMACAddress></MachineInfo><SoftwareInfo ProductName=""McAfee Endpoint Security"" ProductVersion=""10.7.0.3468"" ProductFamily=""TVD""><CommonFields><Analyzer>ENDP_GS_1070</Analyzer><AnalyzerName>McAfee Endpoint Security</AnalyzerName><AnalyzerVersion>10.7.0.3468</AnalyzerVersion><AnalyzerHostName>P00825</AnalyzerHostName><AnalyzerDATVersion></AnalyzerDATVersion><AnalyzerEngineVersion></AnalyzerEngineVersion></CommonFields><Event><EventID>1120</EventID><Severity>0</Severity><GMTTime>2022-11-22T07:19:11</GMTTime><CommonFields><AnalyzerDetectionMethod></AnalyzerDetectionMethod><ThreatName>_</ThreatName><ThreatType></ThreatType><ThreatCategory>ops.update</ThreatCategory><ThreatHandled>1</ThreatHandled><ThreatActionTaken>none</ThreatActionTaken><ThreatSeverity>6</ThreatSeverity></CommonFields></Event></SoftwareInfo></EPOEvent>   ",,"86.12.151.216",EPOEvents,"00000000-0000-0000-0000-000000000002",Syslog,
"b8ad2f26-5083-4274-a162-82c7cf2bddb8",Linux,"22-11-2022 07:22:02.449",P00708,"22-11-2022 06:22:02.000",daemon,P00708,notice,"﻿<?xml version=""1.0""?>  <EPOevent><MachineInfo><MachineName>P01075</MachineName><AgentGUID>{4fc7dd34-574b-11ec-2930-0050568a80e7}</AgentGUID><IPAddress>86.12.200.20</IPAddress><OSName>Windows 10 Server</OSName><UserName>SYSTEM</UserName><TimeZoneBias>-60</TimeZoneBias><RawMACAddress>0050568a80e7</RawMACAddress></MachineInfo><SoftwareInfo ProductName=""McAfee Endpoint Security"" ProductVersion=""10.7.0.3210"" ProductFamily=""TVD""><CommonFields><Analyzer>ENDPATP_1070</Analyzer><AnalyzerName>McAfee Endpoint Security</AnalyzerName><AnalyzerVersion>10.7.0.3210</AnalyzerVersion><AnalyzerHostName>P01075</AnalyzerHostName><AnalyzerDetectionMethod>Self Protection</AnalyzerDetectionMethod></CommonFields><Event><EventID>1092</EventID><Severity>0</Severity><GMTTime>2022-11-22T07:15:01</GMTTime><CommonFields><ThreatCategory>hip.file</ThreatCategory><ThreatEventID>1092</ThreatEventID><ThreatName>Adaptive Threat Protection - Protects $mfedeeprem folder and subfolders</ThreatName><ThreatType>IDS_THREAT_TYPE_VALUE_SP</ThreatType><DetectedUTC>2022-11-22T07:14:31</DetectedUTC><ThreatActionTaken>blocked</ThreatActionTaken><ThreatHandled>True</ThreatHandled><SourceUserName>NT AUTHORITY\SYSTEM</SourceUserName><SourceProcessName>MsMpEng.exe</SourceProcessName><TargetHostName>P01075</TargetHostName><TargetUserName>SYSTEM</TargetUserName><TargetFileName>C:\$MfeDeepRem\CURRENT_SESSIONS\0007657e-2775-40c8-8b2d-7412908d2780\CONFIG_DATA\</TargetFileName><ThreatSeverity>6</ThreatSeverity></CommonFields><CustomFields target=""EPExtendedEventMT""><BladeName>IDS_BLADE_NAME_TIE</BladeName><AnalyzerContentVersion>10.7.0000</AnalyzerContentVersion><AnalyzerContentCreationDate>2016-02-17T10:02:00Z</AnalyzerContentCreationDate><AnalyzerRuleName>IDS_SP_ATP_RULE_PROTECT_DEEPREM_FOLDER</AnalyzerRuleName><SourceProcessHash>d88f3f50277e216c4a96e58b28cb6f28</SourceProcessHash><SourceProcessSigned>True</SourceProcessSigned><SourceProcessSigner>C=US, S=WASHINGTON, L=REDMOND, O=MICROSOFT CORPORATION, CN=MICROSOFT WINDOWS PUBLISHER</SourceProcessSigner><SourceProcessTrusted>True</SourceProcessTrusted><SourceFilePath>C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2210.6-0</SourceFilePath><SourceFileSize>133544</SourceFileSize><SourceModifyTime>2022-11-10T22:48:53Z</SourceModifyTime><SourceAccessTime>2022-11-10T22:48:57Z</SourceAccessTime><SourceCreateTime>2022-11-10T22:48:57Z</SourceCreateTime><TargetName>      </TargetName><TargetPath>C:\$MfeDeepRem\CURRENT_SESSIONS\0007657e-2775-40c8-8b2d-7412908d2780\CONFIG_DATA</TargetPath><TargetDriveType>IDS_EXP_DT_FIXED</TargetDriveType><TargetHash>0e50dd3d67a253338af5df8cac4289e7</TargetHash><TargetSigned>False</TargetSigned><TargetTrusted>False</TargetTrusted><TargetFileSize>13</TargetFileSize><TargetModifyTime>2022-11-22T07:12:01Z</TargetModifyTime><TargetAccessTime>2022-11-22T07:12:01Z</TargetAccessTime><TargetCreateTime>2022-11-22T07:12:01Z</TargetCreateTime><AttackVectorType>4</AttackVectorType><DurationBeforeDetection>980764</DurationBeforeDetection><NaturalLangDescription>IDS_NATURAL_LANG_DESC_DETECTION_APSP_1|TargetPath=C:\$MfeDeepRem\CURRENT_SESSIONS\0007657e-2775-40c8-8b2d-7412908d2780\CONFIG_DATA|AnalyzerRuleName=IDS_SP_ATP_RULE_PROTECT_DEEPREM_FOLDER|SourceFilePath=C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2210.6-0|SourceProcessName=MsMpEng.exe|SourceUserName=NT AUTHORITY\SYSTEM</NaturalLangDescription><AccessRequested>IDS_AAC_REQ_WRITE_ATTRIBUTE</AccessRequested></CustomFields></Event></SoftwareInfo></EPOevent>   ",,"86.12.151.216",EPOEvents,"00000000-0000-0000-0000-000000000002",Syslog,
"b8ad2f26-5083-4274-a162-82c7cf2bddb8",Linux,"22-11-2022 07:22:02.464",P00708,"22-11-2022 06:22:02.000",daemon,P00708,notice,"﻿<?xml version=""1.0""?>  <EPOevent><MachineInfo><MachineName>P01075</MachineName><AgentGUID>{4fc7dd34-574b-11ec-2930-0050568a80e7}</AgentGUID><IPAddress>86.12.200.20</IPAddress><OSName>Windows 10 Server</OSName><UserName>SYSTEM</UserName><TimeZoneBias>-60</TimeZoneBias><RawMACAddress>0050568a80e7</RawMACAddress></MachineInfo><SoftwareInfo ProductName=""McAfee Endpoint Security"" ProductVersion=""10.7.0.3210"" ProductFamily=""TVD""><CommonFields><Analyzer>ENDPATP_1070</Analyzer><AnalyzerName>McAfee Endpoint Security</AnalyzerName><AnalyzerVersion>10.7.0.3210</AnalyzerVersion><AnalyzerHostName>P01075</AnalyzerHostName><AnalyzerDetectionMethod>Self Protection</AnalyzerDetectionMethod></CommonFields><Event><EventID>1092</EventID><Severity>0</Severity><GMTTime>2022-11-22T07:15:01</GMTTime><CommonFields><ThreatCategory>hip.file</ThreatCategory><ThreatEventID>1092</ThreatEventID><ThreatName>Adaptive Threat Protection - Protects $mfedeeprem folder and subfolders</ThreatName><ThreatType>IDS_THREAT_TYPE_VALUE_SP</ThreatType><DetectedUTC>2022-11-22T07:15:00</DetectedUTC><ThreatActionTaken>blocked</ThreatActionTaken><ThreatHandled>True</ThreatHandled><SourceUserName>NT AUTHORITY\SYSTEM</SourceUserName><SourceProcessName>MsMpEng.exe</SourceProcessName><TargetHostName>P01075</TargetHostName><TargetUserName>SYSTEM</TargetUserName><TargetFileName>C:\$MfeDeepRem\CURRENT_SESSIONS\0007657e-2775-40c8-8b2d-7412908d2780\PROCESS_GUIDS\</TargetFileName><ThreatSeverity>6</ThreatSeverity></CommonFields><CustomFields target=""EPExtendedEventMT""><BladeName>IDS_BLADE_NAME_TIE</BladeName><AnalyzerContentVersion>10.7.0000</AnalyzerContentVersion><AnalyzerContentCreationDate>2016-02-17T10:02:00Z</AnalyzerContentCreationDate><AnalyzerRuleName>IDS_SP_ATP_RULE_PROTECT_DEEPREM_FOLDER</AnalyzerRuleName><SourceProcessHash>d88f3f50277e216c4a96e58b28cb6f28</SourceProcessHash><SourceProcessSigned>True</SourceProcessSigned><SourceProcessSigner>C=US, S=WASHINGTON, L=REDMOND, O=MICROSOFT CORPORATION, CN=MICROSOFT WINDOWS PUBLISHER</SourceProcessSigner><SourceProcessTrusted>True</SourceProcessTrusted><SourceFilePath>C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2210.6-0</SourceFilePath><SourceFileSize>133544</SourceFileSize><SourceModifyTime>2022-11-10T22:48:53Z</SourceModifyTime><SourceAccessTime>2022-11-10T22:48:57Z</SourceAccessTime><SourceCreateTime>2022-11-10T22:48:57Z</SourceCreateTime><TargetName>      </TargetName><TargetPath>C:\$MfeDeepRem\CURRENT_SESSIONS\0007657e-2775-40c8-8b2d-7412908d2780\PROCESS_GUIDS</TargetPath><TargetDriveType>IDS_EXP_DT_FIXED</TargetDriveType><TargetHash>048e62607cc7f2439f799c6a6526d007</TargetHash><TargetSigned>False</TargetSigned><TargetTrusted>False</TargetTrusted><TargetFileSize>74</TargetFileSize><TargetModifyTime>2022-11-22T07:12:01Z</TargetModifyTime><TargetAccessTime>2022-11-22T07:12:01Z</TargetAccessTime><TargetCreateTime>2022-11-22T07:12:01Z</TargetCreateTime><AttackVectorType>4</AttackVectorType><DurationBeforeDetection>980764</DurationBeforeDetection><NaturalLangDescription>IDS_NATURAL_LANG_DESC_DETECTION_APSP_1|TargetPath=C:\$MfeDeepRem\CURRENT_SESSIONS\0007657e-2775-40c8-8b2d-7412908d2780\PROCESS_GUIDS|AnalyzerRuleName=IDS_SP_ATP_RULE_PROTECT_DEEPREM_FOLDER|SourceFilePath=C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2210.6-0|SourceProcessName=MsMpEng.exe|SourceUserName=NT AUTHORITY\SYSTEM</NaturalLangDescription><AccessRequested>IDS_AAC_REQ_WRITE_ATTRIBUTE</AccessRequested></CustomFields></Event></SoftwareInfo></EPOevent>   ",,"86.12.151.216",EPOEvents,"00000000-0000-0000-0000-000000000002",Syslog,
"b8ad2f26-5083-4274-a162-82c7cf2bddb8",Linux,"22-11-2022 07:22:02.475",P00708,"22-11-2022 06:22:02.000",daemon,P00708,notice,"﻿<?xml version=""1.0""?>  <EPOevent><MachineInfo><MachineName>P01075</MachineName><AgentGUID>{4fc7dd34-574b-11ec-2930-0050568a80e7}</AgentGUID><IPAddress>86.12.200.20</IPAddress><OSName>Windows 10 Server</OSName><UserName>SYSTEM</UserName><TimeZoneBias>-60</TimeZoneBias><RawMACAddress>0050568a80e7</RawMACAddress></MachineInfo><SoftwareInfo ProductName=""McAfee Endpoint Security"" ProductVersion=""10.7.0.3210"" ProductFamily=""TVD""><CommonFields><Analyzer>ENDPATP_1070</Analyzer><AnalyzerName>McAfee Endpoint Security</AnalyzerName><AnalyzerVersion>10.7.0.3210</AnalyzerVersion><AnalyzerHostName>P01075</AnalyzerHostName><AnalyzerDetectionMethod>Self Protection</AnalyzerDetectionMethod></CommonFields><Event><EventID>1092</EventID><Severity>0</Severity><GMTTime>2022-11-22T07:15:01</GMTTime><CommonFields><ThreatCategory>hip.file</ThreatCategory><ThreatEventID>1092</ThreatEventID><ThreatName>Adaptive Threat Protection - Protects $mfedeeprem folder and subfolders</ThreatName><ThreatType>IDS_THREAT_TYPE_VALUE_SP</ThreatType><DetectedUTC>2022-11-22T07:15:00</DetectedUTC><ThreatActionTaken>blocked</ThreatActionTaken><ThreatHandled>True</ThreatHandled><SourceUserName>NT AUTHORITY\SYSTEM</SourceUserName><SourceProcessName>MsMpEng.exe</SourceProcessName><TargetHostName>P01075</TargetHostName><TargetUserName>SYSTEM</TargetUserName><TargetFileName>C:\$MfeDeepRem\CURRENT_SESSIONS\0007656a-92e7-4bca-9048-7db59eb69600\CONFIG_DATA\</TargetFileName><ThreatSeverity>6</ThreatSeverity></CommonFields><CustomFields target=""EPExtendedEventMT""><BladeName>IDS_BLADE_NAME_TIE</BladeName><AnalyzerContentVersion>10.7.0000</AnalyzerContentVersion><AnalyzerContentCreationDate>2016-02-17T10:02:00Z</AnalyzerContentCreationDate><AnalyzerRuleName>IDS_SP_ATP_RULE_PROTECT_DEEPREM_FOLDER</AnalyzerRuleName><SourceProcessHash>d88f3f50277e216c4a96e58b28cb6f28</SourceProcessHash><SourceProcessSigned>True</SourceProcessSigned><SourceProcessSigner>C=US, S=WASHINGTON, L=REDMOND, O=MICROSOFT CORPORATION, CN=MICROSOFT WINDOWS PUBLISHER</SourceProcessSigner><SourceProcessTrusted>True</SourceProcessTrusted><SourceFilePath>C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2210.6-0</SourceFilePath><SourceFileSize>133544</SourceFileSize><SourceModifyTime>2022-11-10T22:48:53Z</SourceModifyTime><SourceAccessTime>2022-11-10T22:48:57Z</SourceAccessTime><SourceCreateTime>2022-11-10T22:48:57Z</SourceCreateTime><TargetName>      </TargetName><TargetPath>C:\$MfeDeepRem\CURRENT_SESSIONS\0007656a-92e7-4bca-9048-7db59eb69600\CONFIG_DATA</TargetPath><TargetDriveType>IDS_EXP_DT_FIXED</TargetDriveType><TargetSigned>False</TargetSigned><TargetTrusted>False</TargetTrusted><AttackVectorType>4</AttackVectorType><DurationBeforeDetection>980764</DurationBeforeDetection><NaturalLangDescription>IDS_NATURAL_LANG_DESC_DETECTION_APSP_1|TargetPath=C:\$MfeDeepRem\CURRENT_SESSIONS\0007656a-92e7-4bca-9048-7db59eb69600\CONFIG_DATA|AnalyzerRuleName=IDS_SP_ATP_RULE_PROTECT_DEEPREM_FOLDER|SourceFilePath=C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2210.6-0|SourceProcessName=MsMpEng.exe|SourceUserName=NT AUTHORITY\SYSTEM</NaturalLangDescription><AccessRequested>IDS_AAC_REQ_WRITE_ATTRIBUTE</AccessRequested></CustomFields></Event></SoftwareInfo></EPOevent>   ",,"86.12.151.216",EPOEvents,"00000000-0000-0000-0000-000000000002",Syslog,
"b8ad2f26-5083-4274-a162-82c7cf2bddb8",Linux,"22-11-2022 07:22:02.488",P00708,"22-11-2022 06:22:02.000",daemon,P00708,notice,"﻿<?xml version=""1.0""?>  <EPOevent><MachineInfo><MachineName>P01075</MachineName><AgentGUID>{4fc7dd34-574b-11ec-2930-0050568a80e7}</AgentGUID><IPAddress>86.12.200.20</IPAddress><OSName>Windows 10 Server</OSName><UserName>SYSTEM</UserName><TimeZoneBias>-60</TimeZoneBias><RawMACAddress>0050568a80e7</RawMACAddress></MachineInfo><SoftwareInfo ProductName=""McAfee Endpoint Security"" ProductVersion=""10.7.0.3210"" ProductFamily=""TVD""><CommonFields><Analyzer>ENDPATP_1070</Analyzer><AnalyzerName>McAfee Endpoint Security</AnalyzerName><AnalyzerVersion>10.7.0.3210</AnalyzerVersion><AnalyzerHostName>P01075</AnalyzerHostName><AnalyzerDetectionMethod>Self Protection</AnalyzerDetectionMethod></CommonFields><Event><EventID>1092</EventID><Severity>0</Severity><GMTTime>2022-11-22T07:15:31</GMTTime><CommonFields><ThreatCategory>hip.file</ThreatCategory><ThreatEventID>1092</ThreatEventID><ThreatName>Adaptive Threat Protection - Protects $mfedeeprem folder and subfolders</ThreatName><ThreatType>IDS_THREAT_TYPE_VALUE_SP</ThreatType><DetectedUTC>2022-11-22T07:11:31</DetectedUTC><ThreatActionTaken>blocked</ThreatActionTaken><ThreatHandled>True</ThreatHandled><SourceUserName>NT AUTHORITY\SYSTEM</SourceUserName><SourceProcessName>MsMpEng.exe</SourceProcessName><TargetHostName>P01075</TargetHostName><TargetUserName>SYSTEM</TargetUserName><TargetFileName>C:\$MfeDeepRem\CURRENT_SESSIONS\0007657d-3ce8-45d8-bba3-c40709d9b0bf\CONFIG_DATA\</TargetFileName><ThreatSeverity>6</ThreatSeverity></CommonFields><CustomFields target=""EPExtendedEventMT""><BladeName>IDS_BLADE_NAME_TIE</BladeName><AnalyzerContentVersion>10.7.0000</AnalyzerContentVersion><AnalyzerContentCreationDate>2016-02-17T10:02:00Z</AnalyzerContentCreationDate><AnalyzerRuleName>IDS_SP_ATP_RULE_PROTECT_DEEPREM_FOLDER</AnalyzerRuleName><SourceProcessHash>d88f3f50277e216c4a96e58b28cb6f28</SourceProcessHash><SourceProcessSigned>True</SourceProcessSigned><SourceProcessSigner>C=US, S=WASHINGTON, L=REDMOND, O=MICROSOFT CORPORATION, CN=MICROSOFT WINDOWS PUBLISHER</SourceProcessSigner><SourceProcessTrusted>True</SourceProcessTrusted><SourceFilePath>C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2210.6-0</SourceFilePath><SourceFileSize>133544</SourceFileSize><SourceModifyTime>2022-11-10T22:48:53Z</SourceModifyTime><SourceAccessTime>2022-11-10T22:48:57Z</SourceAccessTime><SourceCreateTime>2022-11-10T22:48:57Z</SourceCreateTime><TargetName>      </TargetName><TargetPath>C:\$MfeDeepRem\CURRENT_SESSIONS\0007657d-3ce8-45d8-bba3-c40709d9b0bf\CONFIG_DATA</TargetPath><TargetDriveType>IDS_EXP_DT_FIXED</TargetDriveType><TargetHash>028875e84802891b8d67caffc48838cc</TargetHash><TargetSigned>False</TargetSigned><TargetTrusted>False</TargetTrusted><TargetFileSize>13</TargetFileSize><TargetModifyTime>2022-11-22T07:11:31Z</TargetModifyTime><TargetAccessTime>2022-11-22T07:11:31Z</TargetAccessTime><TargetCreateTime>2022-11-22T07:11:31Z</TargetCreateTime><AttackVectorType>4</AttackVectorType><DurationBeforeDetection>980794</DurationBeforeDetection><NaturalLangDescription>IDS_NATURAL_LANG_DESC_DETECTION_APSP_1|TargetPath=C:\$MfeDeepRem\CURRENT_SESSIONS\0007657d-3ce8-45d8-bba3-c40709d9b0bf\CONFIG_DATA|AnalyzerRuleName=IDS_SP_ATP_RULE_PROTECT_DEEPREM_FOLDER|SourceFilePath=C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2210.6-0|SourceProcessName=MsMpEng.exe|SourceUserName=NT AUTHORITY\SYSTEM</NaturalLangDescription><AccessRequested>IDS_AAC_REQ_WRITE_ATTRIBUTE</AccessRequested></CustomFields></Event></SoftwareInfo></EPOevent>   ",,"86.12.151.216",EPOEvents,"00000000-0000-0000-0000-000000000002",Syslog,
